尝试连接考勤机...
状态更新: ??? ??????
状态更新: ???? ???????
状态更新: ?????
Firmware Version: Ver 6.60 Oct 12 2021
状态更新: ?????
考勤机连接成功！

获取员工信息...
状态更新: ??? ???????
状态更新: ?????
状态更新: ??? ????
状态更新: ??? ??????
状态更新: ???? ???????
状态更新: ?????
Firmware Version: Ver 6.60 Oct 12 2021
状态更新: ?????
员工信息：
  工号: 304401, 姓名: 蔡永康, 权限: 0, 是否启用: true
  工号: 304427, 姓名: 王威威, 权限: 0, 是否启用: true
  工号: 304495, 姓名: 李艳, 权限: 0, 是否启用: true
  工号: 304625, 姓名: 欧杨琛, 权限: 0, 是否启用: true
  工号: 304643, 姓名: 覃飞面, 权限: 0, 是否启用: true
  工号: 304644, 姓名: 黄炳就, 权限: 0, 是否启用: true
  工号: 304695, 姓名: 王福鑫, 权限: 0, 是否启用: true
  工号: 304784, 姓名: 胡越, 权限: 0, 是否启用: true
  工号: 304820, 姓名: 王立涛, 权限: 0, 是否启用: true
  工号: 304847, 姓名: 王启敏, 权限: 0, 是否启用: true
  工号: 306408, 姓名: 蔡碧英, 权限: 0, 是否启用: true
  工号: 304913, 姓名: 冯贺, 权限: 0, 是否启用: true
  工号: 304926, 姓名: 蒋鹏鹏, 权限: 0, 是否启用: true
  工号: 304928, 姓名: 赵航, 权限: 0, 是否启用: true
  工号: 304931, 姓名: 杨广怀, 权限: 0, 是否启用: true
  工号: 304971, 姓名: 安明辉, 权限: 0, 是否启用: true
  工号: 304981, 姓名: 刘朝坤, 权限: 0, 是否启用: true
  工号: 306448, 姓名: 柳建贵, 权限: 0, 是否启用: true
  工号: 305077, 姓名: 李迎迎, 权限: 0, 是否启用: true
  工号: 305092, 姓名: 菜水生, 权限: 0, 是否启用: true
  工号: 305244, 姓名: 田龙俊, 权限: 0, 是否启用: true
  工号: 305246, 姓名: 蔡龙云, 权限: 0, 是否启用: true
  工号: 305474, 姓名: 包家成, 权限: 0, 是否启用: true
  工号: 305486, 姓名: 张兴隆, 权限: 0, 是否启用: true
  工号: 305493, 姓名: 赵锦育, 权限: 0, 是否启用: true
  工号: 305683, 姓名: 黄荣, 权限: 0, 是否启用: true
  工号: 305720, 姓名: 李光华, 权限: 0, 是否启用: true
  工号: 305829, 姓名: 李雪萍, 权限: 0, 是否启用: true
  工号: 306017, 姓名: 肖珍珠, 权限: 0, 是否启用: true
  工号: 306018, 姓名: 谢海生, 权限: 0, 是否启用: true
  工号: 306025, 姓名: 韦良宇, 权限: 0, 是否启用: true
  工号: 306036, 姓名: 陈开燕, 权限: 0, 是否启用: true
  工号: 306174, 姓名: 杨锦珍, 权限: 0, 是否启用: true
  工号: 306180, 姓名: 覃昱翔, 权限: 0, 是否启用: true
  工号: 306184, 姓名: 韦光耀, 权限: 0, 是否启用: true
